FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
1,42,003,563900,2,420035639002,Block Group 2,G5030,S,744135,0,+40.4153199,-079.8449823,7.8956298845e-05,0.049265269213276
2,42,003,499300,1,420034993001,Block Group 1,G5030,S,576117,324290,+40.3335314,-079.8917556,9.5422270125e-05,0.066788923036657
3,42,003,523400,1,420035234001,Block Group 1,G5030,S,892612,0,+40.4502476,-079.8337398,9.4758924244e-05,0.059439205193287
4,42,003,519000,3,420035190003,Block Group 3,G5030,S,1240861,0,+40.4463623,-079.8420315,0.000131721174977,0.069208129689772
5,42,003,562800,1,420035628001,Block Group 1,G5030,S,1121310,0,+40.4202303,-080.0745958,0.000118984587229,0.06025026074321
6,42,003,464300,2,420034643002,Block Group 2,G5030,S,319324,0,+40.4462671,-080.0712538,3.3897225549e-05,0.035782828174183
7,42,003,414101,4,420034141014,Block Group 4,G5030,S,1302503,0,+40.6073338,-079.9244867,0.000138591612403,0.074292718973364
8,42,003,562500,4,420035625004,Block Group 4,G5030,S,601811,0,+40.4580575,-080.0582931,6.3894991943e-05,0.052850176596122
9,42,003,980400,1,420039804001,Block Group 1,G5030,S,1106930,0,+40.4819378,-080.0200164,0.000117565118427,0.075454475151637
10,42,003,141400,5,420031414005,Block Group 5,G5030,S,140752,0,+40.4275500,-079.9245784,1.4937221004e-05,0.017373685413029
11,42,003,261400,1,420032614001,Block Group 1,G5030,S,306418,0,+40.4653223,-080.0168974,3.2535757124e-05,0.024595828447828
12,42,003,562800,2,420035628002,Block Group 2,G5030,S,653727,0,+40.4269246,-080.0658036,6.9374928096e-05,0.051106545577842
13,42,003,523400,3,420035234003,Block Group 3,G5030,S,395709,0,+40.4551660,-079.8391121,4.2010937789e-05,0.04046678575448
14,42,003,523400,4,420035234004,Block Group 4,G5030,S,392365,0,+40.4535110,-079.8298824,4.1655122532e-05,0.031827575133258
15,42,003,563200,2,420035632002,Block Group 2,G5030,S,294225,0,+40.4535116,-079.9979371,3.1235629958e-05,0.026501531318622
16,42,003,488600,1,420034886001,Block Group 1,G5030,S,977202,0,+40.3501351,-079.9134469,0.000103586675551,0.061051754885043
17,42,003,472200,3,420034722003,Block Group 3,G5030,S,339017,0,+40.3957051,-080.0433601,3.5961049624e-05,0.024809998114984
18,42,003,564100,1,420035641001,Block Group 1,G5030,S,1450326,0,+40.4224180,-080.0885510,0.000153902404109,0.075560199675284
19,42,003,470502,1,420034705021,Block Group 1,G5030,S,1107920,0,+40.4074702,-080.0688312,0.000117541879343,0.06554630255964
20,42,003,465800,1,420034658001,Block Group 1,G5030,S,586955,0,+40.4323757,-080.0624340,6.2294266934e-05,0.044263054109037
21,42,003,469000,1,420034690001,Block Group 1,G5030,S,585917,0,+40.4163718,-080.0437178,6.2165440531e-05,0.056498426972445
22,42,003,562600,2,420035626002,Block Group 2,G5030,S,579279,0,+40.4400200,-080.0409698,6.1486432244e-05,0.036666807269487
23,42,003,980700,1,420039807001,Block Group 1,G5030,S,621462,417415,+40.4367678,-080.0105440,0.000110265542908,0.076191268768356
24,42,003,562700,1,420035627001,Block Group 1,G5030,S,374704,0,+40.4507824,-080.0144011,3.9778592456e-05,0.028491463271534
25,42,003,261500,2,420032615002,Block Group 2,G5030,S,784926,0,+40.4698626,-080.0193109,8.3350853341e-05,0.050204259324219
26,42,003,070900,3,420030709003,Block Group 3,G5030,S,220502,0,+40.4489269,-079.9431401,2.3407671976e-05,0.021231185232494
27,42,003,980600,1,420039806001,Block Group 1,G5030,S,983079,473793,+40.4517918,-080.0280402,0.000154664348149,0.066568547774154
28,42,003,561600,1,420035616001,Block Group 1,G5030,S,294185,0,+40.4168801,-079.9615214,3.1214976033e-05,0.028118794408308
