,crime_id,census_block_geoid,zipcode,region_id,region_name
0,2878812,420031017002,15224,273806,Garfield
1,2879017,420031304001,15208,271186,Homewood South
2,2881118,420030305002,15219,273391,Crawford Roberts
3,2880044,420031203001,15206,274318,Lincoln-Lemington-Belmar
4,2880043,420035632002,15212,271169,East Allegheny
5,2882002,420031803001,15210,272753,Allentown
6,2882236,420032206001,15212,271162,Central Northside
7,2882239,420031917001,15226,208709,Brookline
8,2882620,420030305001,15219,273391,Crawford Roberts
9,2882664,420031016001,15224,273806,Garfield
10,2883757,420032607001,15214,271206,Perry North
11,2883393,420035632001,15212,271199,North Shore
12,2883390,420032704001,15212,343629,Marshall - Shadeland
13,2883545,420031303003,15208,271186,Homewood South
14,2883543,420031702003,15203,271217,Southside Flats
15,2883394,420031702003,15203,271217,Southside Flats
16,2883404,420039806001,15212,271165,Chateau
17,2883415,420031702003,15203,271217,Southside Flats
18,2883396,420039812001,15212,271199,North Shore
19,2883399,420031702003,15203,271217,Southside Flats
20,2885526,420030203001,15222,216117,Strip District
21,2885482,420033001003,15210,212283,Knoxville
22,2887697,,,,
23,2883414,420035632003,15212,271169,East Allegheny
24,2883405,420031903001,15211,213615,Mount Washington
25,2886216,420031207001,15208,271187,Homewood West
26,2883407,420035625004,15204,215587,Sheraden
27,2883408,420032107002,15233,271165,Chateau
28,2883563,420031702003,15203,271217,Southside Flats
29,2883411,420030409002,15213,214069,Oakland
30,2883564,420031702004,15203,271217,Southside Flats
31,2883419,420032206002,15212,271162,Central Northside
32,2883427,420031702003,15203,271217,Southside Flats
33,2883418,420035626001,15220,216959,West End
34,2889596,420039806001,15212,271165,Chateau
35,2883410,420030703002,15232,54374,Shadyside
36,2883423,420031706002,15203,271218,Southside Slopes
37,2883420,420031702003,15203,271217,Southside Flats
38,2883429,420031702004,15203,271217,Southside Flats
39,2883424,420030501002,15219,271194,Middle Hill
40,2883425,420032607001,15214,271206,Perry North
41,2883565,420030305002,15219,273391,Crawford Roberts
42,2883426,420031401004,15213,271219,Squirrel Hill North
43,2883428,420032022002,15204,215587,Sheraden
44,2883417,420035627001,15233,272749,Allegheny West
45,2883421,420035620001,15213,274732,North Oakland
46,2883573,420032406001,15212,216452,Troy Hill
47,2883431,420032206001,15212,343638,Allegheny Center
48,2883774,420032901003,15210,208967,Carrick
49,2883432,420032715003,15212,343629,Marshall - Shadeland
50,2883433,420030201001,15222,271161,Central Business District
51,2884203,420031408001,15217,271220,Squirrel Hill South
52,2883434,420031920001,15216,208228,Beechview
53,2883392,420030509001,15219,271194,Middle Hill
54,2883944,420031702004,15203,271217,Southside Flats
55,2883440,420030305002,15219,273391,Crawford Roberts
56,2883439,420030405001,15213,214069,Oakland
57,2885043,420031807001,15211,213615,Mount Washington
58,2885458,420031918004,15226,208709,Brookline
59,2883587,420030510002,15219,271224,Terrace Village
60,2883437,420031915002,15211,213615,Mount Washington
61,2885047,420032708001,15212,271156,Brighton Heights
62,2885505,420031414004,15217,271220,Squirrel Hill South
63,2883949,420032904004,15227,208967,Carrick
64,2885462,420032703001,15212,271156,Brighton Heights
65,2885466,420031916004,15216,208228,Beechview
66,2885474,420030201005,15219,271161,Central Business District
67,2885477,420031608002,15203,271218,Southside Slopes
68,2885491,420035632001,15212,271199,North Shore
69,2885495,420031609002,15203,271217,Southside Flats
70,2885534,420031803003,15210,272753,Allentown
71,2883737,420031706002,15203,271218,Southside Slopes
72,2885498,420030203001,15201,216117,Strip District
73,2885937,420030807002,15232,271179,Friendship
74,2885500,420031018002,15201,215971,Stanton Heights
75,2885536,420035625004,15204,215587,Sheraden
76,2885501,420031919002,15226,208709,Brookline
77,2885502,420035631002,15205,343632,Westwood
78,2883450,420035631003,15220,275170,Ridgemont
79,2885535,420030201003,15219,271161,Central Business District
80,2885503,420031702003,15203,271217,Southside Flats
81,2885539,420032620002,15212,343628,Spring Hill - City View
82,2885541,420032715002,15212,343629,Marshall - Shadeland
83,2885543,420031303003,15208,271186,Homewood South
84,2885579,420030406001,15213,214069,Oakland
85,2885568,420031914001,15203,213615,Mount Washington
86,2885544,420031803003,15210,272753,Allentown
87,2883965,,,,
88,2885545,420031702004,15203,271217,Southside Flats
89,2885548,420030809001,15224,208472,Bloomfield
90,2885552,420031301001,15208,271186,Homewood South
91,2885564,420031301001,15208,271186,Homewood South
92,2884565,,,,
93,2885560,420030501002,15219,271194,Middle Hill
94,2885562,420031011001,15201,271227,Upper Lawrenceville
95,2885567,420031303002,15208,271186,Homewood South
96,2884165,420035616004,15210,272790,Arlington
97,2885570,420033001003,15210,212283,Knoxville
98,2885506,420031914001,15203,213615,Mount Washington
99,2885507,420035627002,15212,343638,Allegheny Center
100,2885527,420032615001,15214,271207,Perry South
101,2885530,420031408002,15217,271220,Squirrel Hill South
102,2883310,420035627001,15233,272749,Allegheny West
103,2885528,420031113003,15206,38290,East Liberty
104,2885529,420039818001,15206,274318,Lincoln-Lemington-Belmar
105,2885531,420035617002,15210,271195,Mt Oliver
106,2885532,420032703001,15212,271156,Brighton Heights
107,2884147,420031702003,15203,271217,Southside Flats
108,2883816,420030806001,15224,208472,Bloomfield
109,2885577,420035627001,15233,271165,Chateau
110,2883804,420034810002,15210,212283,Knoxville
111,2883939,420035626004,15220,210276,Elliott
112,2883807,420032107001,15233,212921,Manchester
113,2883291,,,,
114,2883813,420030703001,15232,54374,Shadyside
115,2884406,,,,
116,2883815,420035632003,15212,271169,East Allegheny
117,2883403,420032206001,15212,271162,Central Northside
118,2883876,420035626004,15220,210276,Elliott
119,2885576,420032412001,15212,343624,Spring Garden
120,2883819,420032107001,15233,212921,Manchester
121,2883821,420031609001,15203,271217,Southside Flats
122,2883820,420033001004,15210,208285,Beltzhoover
123,2884139,420039822001,15213,274732,North Oakland
124,2883822,420031807003,15211,213615,Mount Washington
125,2883823,,,,
126,2883832,420032715003,15212,343629,Marshall - Shadeland
127,2883826,420032715002,15212,343629,Marshall - Shadeland
128,2883824,420030802001,15224,208472,Bloomfield
129,2883795,420035629001,15207,211463,Hazelwood
130,2883828,420030406001,15213,214069,Oakland
131,2883825,420030409002,15213,214069,Oakland
132,2883835,420032406001,15212,216452,Troy Hill
133,2883843,420035620001,15213,274732,North Oakland
134,2883838,420039806001,15233,271165,Chateau
135,2883847,,,,
136,2883858,420030705003,15206,54374,Shadyside
137,2883856,420031017002,15224,273806,Garfield
