census_block_geoid,count
420030103001.0,45
420030103002.0,131
420030103003.0,260
420030103004.0,147
420030201001.0,422
420030201002.0,244
420030201003.0,708
420030201004.0,101
420030201005.0,348
420030201006.0,220
420030203001.0,442
420030305001.0,112
420030305002.0,270
420030402001.0,116
420030402002.0,123
420030404001.0,98
420030404002.0,21
420030405001.0,201
420030405002.0,197
420030406001.0,170
420030409001.0,176
420030409002.0,88
420030409003.0,58
420030501001.0,58
420030501002.0,149
420030501003.0,225
420030506001.0,66
420030506002.0,52
420030506003.0,96
420030509001.0,148
420030510001.0,98
420030510002.0,64
420030511001.0,117
420030603001.0,171
420030603002.0,183
420030605001.0,79
420030605002.0,54
420030703001.0,77
420030703002.0,145
420030703003.0,42
420030705001.0,51
420030705002.0,60
420030705003.0,126
420030706001.0,73
420030706002.0,88
420030708001.0,224
420030708002.0,46
420030709001.0,119
420030709002.0,95
420030709003.0,33
420030709004.0,26
420030802001.0,104
420030802002.0,69
420030804001.0,101
420030804002.0,77
420030806001.0,90
420030806002.0,57
420030807001.0,57
420030807002.0,155
420030809001.0,85
420030809002.0,128
420030901001.0,77
420030901002.0,91
420030902001.0,155
420030902002.0,79
420030902003.0,66
420030903001.0,136
420030903002.0,132
420031005001.0,51
420031005002.0,58
420031011001.0,125
420031011002.0,64
420031011003.0,85
420031014001.0,78
420031014002.0,40
420031014003.0,46
420031014004.0,18
420031016001.0,121
420031017001.0,40
420031017002.0,91
420031018001.0,21
420031018002.0,82
420031102001.0,28
420031102002.0,41
420031102003.0,43
420031102004.0,93
420031106001.0,33
420031106002.0,28
420031106003.0,20
420031113001.0,84
420031113002.0,82
420031113003.0,114
420031113004.0,95
420031114001.0,106
420031114002.0,81
420031115001.0,168
420031115002.0,137
420031115003.0,240
420031115004.0,146
420031203001.0,230
420031203002.0,118
420031204001.0,67
420031204002.0,39
420031207001.0,76
420031207002.0,127
420031208001.0,99
420031208002.0,195
420031301001.0,192
420031301002.0,78
420031301003.0,138
420031302001.0,109
420031302002.0,144
420031303001.0,180
420031303002.0,118
420031303003.0,132
420031304001.0,141
420031304002.0,170
420031304003.0,94
420031306001.0,126
420031306002.0,73
420031306003.0,274
420031401001.0,24
420031401002.0,39
420031401003.0,13
420031401004.0,40
420031402001.0,45
420031402002.0,62
420031403001.0,33
420031403002.0,17
420031403003.0,82
420031403004.0,39
420031404001.0,65
420031404002.0,14
420031404003.0,51
420031405001.0,159
420031405002.0,39
420031405003.0,37
420031406001.0,71
420031406002.0,48
420031406003.0,98
420031408001.0,85
420031408002.0,138
420031408003.0,66
420031410001.0,76
420031411001.0,50
420031413001.0,110
420031413002.0,51
420031413003.0,73
420031414001.0,54
420031414002.0,34
420031414003.0,38
420031414004.0,98
420031414005.0,78
420031516001.0,48
420031516002.0,36
420031516003.0,43
420031517001.0,90
420031517002.0,50
420031517003.0,19
420031517004.0,18
420031517005.0,41
420031517006.0,28
420031608001.0,51
420031608002.0,53
420031608003.0,44
420031608004.0,98
420031609001.0,191
420031609002.0,437
420031702001.0,363
420031702002.0,225
420031702003.0,563
420031702004.0,387
420031706001.0,58
420031706002.0,73
420031706003.0,96
420031803001.0,168
420031803002.0,329
420031803003.0,119
420031807001.0,76
420031807002.0,71
420031807003.0,88
420031903001.0,100
420031903002.0,91
420031911001.0,72
420031911002.0,96
420031914001.0,222
420031914002.0,140
420031915001.0,117
420031915002.0,122
420031916001.0,86
420031916002.0,66
420031916003.0,81
420031916004.0,79
420031916005.0,121
420031917001.0,124
420031917002.0,26
420031917003.0,68
420031918001.0,112
420031918002.0,53
420031918003.0,46
420031918004.0,97
420031918005.0,38
420031918006.0,44
420031918007.0,61
420031919001.0,37
420031919002.0,64
420031919003.0,59
420031920001.0,33
420031920002.0,73
420031920003.0,81
420031920004.0,53
420031920005.0,41
420032022001.0,197
420032022002.0,101
420032022003.0,33
420032023001.0,64
420032023002.0,77
420032023003.0,88
420032023004.0,59
420032107001.0,332
420032107002.0,126
420032206001.0,306
420032206002.0,193
420032406001.0,150
420032406002.0,254
420032412001.0,73
420032412002.0,81
420032503001.0,180
420032507001.0,249
420032509001.0,98
420032509002.0,82
420032602001.0,56
420032602002.0,71
420032602003.0,65
420032607001.0,131
420032607002.0,62
420032609001.0,291
420032612001.0,47
420032614001.0,101
420032614002.0,134
420032614003.0,96
420032614004.0,76
420032615001.0,114
420032615002.0,148
420032620001.0,142
420032620002.0,161
420032620003.0,95
420032701001.0,127
420032701002.0,113
420032703001.0,139
420032703002.0,60
420032704001.0,98
420032708001.0,61
420032708002.0,118
420032708003.0,39
420032715001.0,173
420032715002.0,215
420032715003.0,124
420032814001.0,48
420032814002.0,233
420032815001.0,53
420032815002.0,48
420032901001.0,181
420032901002.0,148
420032901003.0,209
420032902001.0,77
420032902002.0,53
420032902003.0,60
420032902004.0,83
420032902005.0,93
420032904001.0,117
420032904002.0,258
420032904003.0,56
420032904004.0,59
420032904005.0,95
420033001001.0,43
420033001002.0,98
420033001003.0,207
420033001004.0,140
