INCIDENTTRACT,count
103.0,591
201.0,2777
203.0,507
305.0,451
402.0,238
403.0,93
404.0,125
405.0,500
406.0,171
409.0,348
501.0,437
506.0,185
507.0,224
509.0,229
510.0,161
511.0,15
603.0,309
605.0,124
703.0,244
705.0,281
706.0,130
708.0,176
709.0,260
802.0,126
804.0,250
806.0,136
807.0,173
809.0,308
901.0,255
902.0,214
903.0,195
1005.0,117
1011.0,232
1014.0,242
1016.0,116
1017.0,203
1018.0,136
1102.0,296
1106.0,347
1113.0,368
1114.0,214
1115.0,829
1201.0,343
1202.0,185
1203.0,250
1204.0,164
1207.0,263
1208.0,270
1301.0,310
1302.0,298
1303.0,400
1304.0,314
1306.0,585
1401.0,141
1402.0,100
1403.0,186
1404.0,84
1405.0,319
1406.0,238
1408.0,355
1410.0,66
1411.0,48
1413.0,291
1414.0,273
1501.0,186
1504.0,82
1515.0,470
1516.0,149
1517.0,364
1603.0,235
1604.0,39
1606.0,33
1607.0,74
1608.0,348
1609.0,587
1702.0,2326
1706.0,328
1803.0,713
1806.0,160
1807.0,272
1809.0,282
1903.0,132
1911.0,167
1914.0,324
1915.0,239
1916.0,433
1917.0,275
1918.0,433
1919.0,236
1920.0,359
1921.0,190
2016.0,34
2017.0,101
2018.0,504
2019.0,171
2020.0,405
2021.0,33
2022.0,324
2023.0,304
2107.0,339
2108.0,341
2201.0,148
2204.0,489
2205.0,563
2206.0,418
2304.0,951
2406.0,363
2412.0,170
2503.0,176
2507.0,233
2509.0,302
2602.0,233
2607.0,134
2609.0,281
2612.0,65
2614.0,299
2615.0,222
2620.0,368
2701.0,300
2703.0,270
2704.0,189
2708.0,229
2715.0,587
2805.0,69
2807.0,111
2808.0,92
2811.0,211
2812.0,69
2814.0,291
2815.0,97
2901.0,472
2902.0,504
2904.0,497
3001.0,745
3101.0,55
3102.0,149
3103.0,31
3204.0,184
3206.0,145
3207.0,103
4810.0,16
5599.0,225
6699.0,38
7799.0,28
